"id","status","count","source_url","query","erro","sha256","arquivo"
"gravimetria_sgb_ms","zero_confirmado","0","https://geoportal.sgb.gov.br/server/rest/services/geofisica/gravimetria/MapServer/0","longitude >= -58.3 AND longitude <= -50.8 AND latitude >= -24.2 AND latitude <= -17.0","","",""
"magnetotelurico_sgb_ms","erro_r5b","","https://geoportal.sgb.gov.br/server/rest/services/geofisica/geofisica_terrestre/MapServer/2","Longitude >= -58.3 AND Longitude <= -50.8 AND Latitude >= -24.2 AND Latitude <= -17.0","ArcGIS {""code"":500,""message"":""Error handling service request :Wait timeout for the request exceeded."",""details"":[]}","",""
"siagas_pocos_ms","capturado_candidato_r5b","3877","https://geoportal.sgb.gov.br/server/rest/services/Siagas_WebMap_MIL1/MapServer/0","str_uf = 'MS'","","531f9988f0d3ddd25c3f8cc9a2c146a3243156ae907bad3007dcfa5f43142d25","camadas/snapshots/2026-08-15/siagas_pocos_ms.geojson"
"rimas_pocos_monitoramento_ms","erro_r5b","","https://geoportal.sgb.gov.br/server/rest/services/hidrologia/rimas/MapServer/0","str_uf = 'MS'","ArcGIS {""code"":503,""message"":""Error handling service request :Wait timeout for the request exceeded."",""details"":[]}","",""
